Question;Answers;Chart name on design;Section;Single value;Map widget;Horizontal bar chart;Pie chart;Area graph;;;;;;;;;;;;;;;;
Unexpected or hidden costs?;Yes/No/Don't know;Unexpected or hidden costs;Associated cost and prerequisites;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Have you identified organisational prerequisites (skills, workforce, education) necessary for successful technology integration? ;Yes/No/Don't know;Organisational prerequisites;Associated cost and prerequisites;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Data management and data sharing practices;;;;;;;;;;;;;;;;;;;;;;;;
Is data collected from your farming/forestry activities?;Yes/No/Don't know;Data collection;Data management and data sharing practices;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What type of data sharing practices related to digital technology does your organisation use?;;Data sharing;Data management and data sharing practices;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What type of data do you collect?;;Type of data;Data management and data sharing practices;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Do you pay for this data?;Yes/No/Don't know;Data payments;Data management and data sharing practices;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What type of tools or platforms do you use to collect data?;;Tools;Data management and data sharing practices;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Do you share this data?;Yes/No/Don't know;;Data management and data sharing practices;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Do challenges exist in sharing and interoperability of agricultural and forestry data?;Yes/No/Don't know;Challenges;Data management and data sharing practices;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
How do these practices contribute to or impede the overall effectiveness of technology adoption?;;Overall contribution;Data management and data sharing practices;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Approximately what percentage of overall decisions made are based on data analytics in your organisation?;;;Data management and data sharing practices;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Data storage and data flows;;;;;;;;;;;;;;;;;;;;;;;;
 Do you use cloud services/data centres? ;Yes/No/Don't know;;Data storage and data flows;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Are there economic implications associated with data flows in these sectors?;Yes/No/Don't know;;Data storage and data flows;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Do data flows enhance productivity and efficiency in agriculture and forestry?;Yes/No/Don't know;;Data storage and data flows;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Do you use data analytics for decision-making? ;Yes/No/Don't know;;Data storage and data flows;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What type of data do you receive or provide? ;;;Data storage and data flows;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Do you pay for this data? ;Yes/No/Don't know;;Data storage and data flows;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Where and how do you store this data? ;;;Data storage and data flows;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
 Socio-economic benefits and impacts;;;;;;;;;;;;;;;;;;;;;;;;
Have you experienced socio-economic benefits through the use of digital technologies? ;Yes/No/Don't know;Socio-economic benefits; Socio-economic benefits and impacts;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Have digital technologies resulted in cost savings or increased efficiency?;Yes/No/Don't know;Cost savings/efficiency; Socio-economic benefits and impacts;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Savings in inputs?;Yes/No/Don't know;Saving in inputs; Socio-economic benefits and impacts;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Increase in Overall revenue?;Yes/No/Don't know;Overall revenue; Socio-economic benefits and impacts;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Impact on job creation?;; Job creation impact; Socio-economic benefits and impacts;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Overall Socio-economic Impact?;;Overall socio-economic impact; Socio-economic benefits and impacts;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Environmental and Sustainability Impact;;;;;;;;;;;;;;;;;;;;;;;;
Have digital technologies contributed to sustainability and environmental practices?;Yes/No/Don't know;Sustainability;Environmental and Sustainability Impact;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Have you observed positive impacts on resource conservation or environmental footprint?;Yes/No/Don't know;Conservation;Environmental and Sustainability Impact;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Have digital technologies contributed to energy efficiency?;Yes/No/Don't know;Energy efficiency;Environmental and Sustainability Impact;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Have you observed any positive or negative effects on biodiversity in agricultural and forestry areas due to digital technology adoption?;;Effects on biodiversity;Environmental and Sustainability Impact;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Do you use digital technologies to track and ensure adherence to sustainable farming practices and forestry activities?;Yes/No/Don't know;Track and ensure adherence;Environmental and Sustainability Impact;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Future outlook;;;;;;;;;;;;;;;;;;;;;;;;
Are there plans to expand or upgrade your current digital infrastructure? ;Yes/No/Don't know;Plans to expand/upgrade;Future outlook;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What would help facilitate the expansion/upgrade of digital infrastructure in the future?;;Future expansion/upgrade;Future outlook;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
What type of developments do you anticipate in the near future?;;;Future outlook;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
